,ГЕРБ-СДС,ПП/ДБ,ВЪЗР,ДПС-Пеев,БСП,ИТН,ДПС-Доган,МЕЧ,ПБ,npn,invalid,other,abstention,removed_voters
ГЕРБ-СДС,364239.328,631.264,1262.528,4418.848,1893.7920000000001,2525.056,1262.528,8837.696,210210.912,0.0,1893.7920000000001,3156.32,27144.352,3156.32
ПП/ДБ,1580.595,302842.002,0.0,316.119,0.0,0.0,316.119,316.119,5690.142,632.238,0.0,632.238,1896.714,2212.833
ВЪЗР,3063.28,2144.296,108746.43999999999,2756.9519999999998,1225.3120000000001,306.32800000000003,1837.968,306.32800000000003,112728.704,612.6560000000001,0.0,71374.424,306.32800000000003,918.984
ДПС-Пеев,2937.2639999999997,1869.1680000000001,1068.096,131375.808,1068.096,1335.1200000000001,7209.648,1335.1200000000001,24566.208,1335.1200000000001,1335.1200000000001,2937.2639999999997,85180.656,3471.312
БСП,908.86,3271.8959999999997,727.088,545.316,72890.572,363.544,6725.563999999999,5634.932,75435.37999999999,1090.632,363.544,5271.388,3635.44,4726.072
ИТН,619.668,3872.925,309.834,154.917,774.585,6041.763,619.668,12703.194000000001,104104.224,0.0,154.917,15801.534,9604.854,154.917
ДПС-Доган,1645.9959999999999,1496.3600000000001,598.544,53420.051999999996,748.1800000000001,149.636,16609.596,448.908,13467.24,299.272,897.816,0.0,54766.776,4937.988
МЕЧ,4621.672,2520.9120000000003,420.152,0.0,0.0,0.0,735.266,39704.364,41069.858,0.0,0.0,105.038,15335.547999999999,525.19
npn,316.80400000000003,3801.648,0.0,396.005,158.40200000000002,396.005,792.01,0.0,4356.055,30650.787,79.20100000000001,31284.395,1821.623,5148.0650000000005
invalid,330.883,-0.0,0.0,47.269,47.269,47.269,850.842,0.0,1134.4560000000001,0.0,41502.182,0.0,898.111,2363.4500000000003
other,541.278,20207.712,8840.874,1082.556,180.42600000000002,0.0,360.85200000000003,541.278,3788.9460000000004,2886.8160000000003,0.0,137484.612,3969.372,180.42600000000002
abstention,37535.778,16682.568,4170.642,20853.21,16682.568,12511.926,4170.642,25023.852,775739.412,8341.284,16682.568,16682.568,3186370.488,25023.852
new_voters,6125.41,4739.133,354.62899999999996,64.478,2417.9249999999997,0.0,257.912,741.497,2224.491,612.5409999999999,96.717,1676.4279999999999,12927.839,0.0
