,ГЕРБ-СДС,ПП/ДБ,ВЪЗР,ДПС-Пеев,БСП,ПБ,npn,invalid,other,abstention,removed_voters
ГЕРБ-СДС,340221.0818192994,7534.645921606696,8738.073568237845,3905.2208328541196,6875.285963873415,196840.3762141983,4075.1810571304204,4508.029895929888,24982.874801452344,32353.927520605957,1229.302404811542
ПП/ДБ,8916.394845208066,202638.51635012162,8533.64340159261,1979.313797563814,5677.211114926916,31947.10918295639,6552.258504240075,2549.844445276127,22205.359598000858,24812.10810920659,307.2406509069349
ВЪЗР,9244.219137081564,7716.663980916171,67269.74634946152,1083.9782577152146,14179.822777291607,79259.49829009206,3554.6156071413243,6291.151162158758,109259.52568576604,8371.90127418673,96.87747818900176
ДПС-Пеев,6803.556969356496,6237.571753608824,4163.041455043737,134296.73703988286,4453.745039546058,21921.388992584423,2703.3905548057705,5963.64461668052,12462.943238993726,64495.66390767837,3522.3164318192266
БСП,4336.451017733769,2484.4960799386545,7506.29014954199,1344.8002444119475,41457.015406755985,86760.61957551546,1718.317872574379,3085.4305184330433,25388.688035263476,7503.706298887705,186.1848009435912
npn,8065.237858054713,6295.060069067602,7115.48432131931,1505.138952527951,3522.7010090039657,6248.850397837792,20554.150005601252,4973.370268530199,8006.332446133333,12804.421928864953,110.25274305893481
invalid,1886.3592291611174,899.867554599362,520.509867865255,539.1728859891709,1087.9487994057788,3411.8197140232087,532.0185780991924,24824.3830817517,10926.802579143796,2616.6651942543945,23.45251570702281
other,10535.636533066467,15928.901044235346,8790.168448432392,23157.405944185186,5500.105477925565,52747.62467548743,4268.163768090699,4364.924008308984,156733.8170007502,305137.7646753306,2852.4884241871227
abstention,33485.4854813127,114851.73461152156,14576.960442012849,45176.4703996831,12301.282521072688,891849.383597439,4027.5271521185687,4481.137687026098,75906.24066610658,2928651.124871961,45334.65256974573
new_voters,1456.4313067133046,1642.6748283420818,994.4219393130419,1639.7506919984824,979.505604263602,2894.566247930001,686.3938925334835,746.7808213318875,3495.0892511025227,17698.001373540395,5.384042931196718
