,ПБ,ГЕРБ-СДС,ПП/ДБ,ДПС-Пеев,БСП,ВЪЗР,Величие,МЕЧ,Сияние,npn,other,abstention
ГЕРБ-СДС,215596,412943,0,0,0,0,1717,1009,0,0,0,0
ПП/ДБ,0,0,316119,0,0,0,0,0,0,0,0,0
ДПС-Пеев,1931,0,0,170978,0,0,0,0,0,0,0,94125
ДПС-Доган,0,0,0,65308,0,0,0,0,0,0,12627,71721
БСП,130068,0,0,0,51704,0,0,0,0,0,0,0
ИТН,115128,0,0,0,0,18786,0,0,21002,0,0,0
ВЪЗР,277247,0,0,0,0,29086,0,0,0,0,0,0
Величие,73237,0,0,0,0,0,13056,0,0,0,0,0
МЕЧ,105038,0,0,0,0,0,0,0,0,0,0,0
npn,0,0,46186,0,0,0,0,0,16897,0,16116,0
other,0,0,3698,0,166,20495,0,39889,25883,0,51253,0
abstention,452546,9526,0,0,41160,56976,72197,54044,23627,45649,87316,3327094
